episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
10.0,-30.0,-10.6,10.0,100,4,1000,40,1000,False,100,1,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-26-15,1648895175,83.74463629722595,83.74463629722595,1253,1d29a0c222c3,172.17.0.2,83.74463629722595,40,1,"[-10.0, 0.0, -10.0, -10.0, 0.0, 0.0, -20.0, 0.0, -20.0, -10.0, 0.0, -10.0, -10.0, 0.0, -10.0, -10.0, -20.0, 0.0, -10.0, -20.0, -10.0, -10.0, -10.0, -10.0, -20.0, 0.0, -10.0, -30.0, -10.0, -10.0, -10.0, 0.0, -10.0, -20.0, 0.0, -20.0, -10.0, -20.0, -20.0, -10.0, -20.0, -10.0, 0.0, -10.0, -20.0, -10.0, -10.0, -10.0, -30.0, 0.0, -10.0, 0.0, -10.0, 0.0, -10.0, -10.0, -20.0, 10.0, -20.0, -20.0, -10.0, 0.0, 10.0, -30.0, -10.0, -10.0, 0.0, 10.0, 0.0, -20.0, -30.0, -20.0, 10.0, 10.0, 10.0, 0.0, -10.0, -10.0, -20.0, -10.0, -20.0, 10.0, -20.0, -10.0, -20.0, -10.0, 0.0, -30.0, -10.0, -20.0, -10.0, -10.0, -10.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -30.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.73603899830366,54.68083425347073,0.22703575423039293,0.16231579609601152,0.0,3239.952,12.346,2462.148,16.246,42.621,1000,1000,1000,40,520,1,23.352500000000003,56.87,18.191308975219727,231.6316680908203,3.4500104268391927,-3.3190155029296875,0.036191741625467934
20.0,-30.0,-12.1,10.0,100,4,2000,40,2000,False,200,2,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-27-38,1648895258,82.21902227401733,165.9636585712433,1253,1d29a0c222c3,172.17.0.2,165.9636585712433,80,2,"[0.0, -10.0, -20.0, 0.0, -10.0, 0.0, -20.0, -10.0, 20.0, -10.0, -20.0, -20.0, 0.0, -10.0, -20.0, -20.0, 0.0, -10.0, 0.0, -30.0, -10.0, -10.0, -10.0, 0.0, 0.0, -10.0, 0.0, -20.0, -20.0, 0.0, -20.0, -20.0, -20.0, -20.0, -10.0, 0.0, -10.0, -20.0, -20.0, -20.0, -20.0, -10.0, -20.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -30.0, -20.0, -30.0, -10.0, -20.0, -10.0, -10.0, -20.0, -20.0, -10.0, 0.0, 0.0, -20.0, 0.0, 0.0, -30.0, -10.0, -10.0, -30.0, -10.0, -20.0, -10.0, 0.0, 0.0, -20.0, -10.0, -10.0, -10.0, -20.0, -10.0, 0.0, -30.0, -20.0, -20.0, -20.0, -20.0, 0.0, 10.0, -20.0, -20.0, -10.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -20.0, -10.0, -20.0, -10.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7320086875123653,54.22294068479251,0.226230797415484,0.16265988587857247,0.0,3327.046,12.023,2511.183,15.929,43.727,2000,2000,2000,40,1560,3,23.065254237288137,57.4508474576271,4.593591213226318,34.758460998535156,1.5590147654215494,-1.1692998250325521,-1.3191799163818358
10.0,-30.0,-12.4,10.0,100,4,3000,40,3000,False,300,3,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-29-01,1648895341,82.259268283844,248.22292685508728,1253,1d29a0c222c3,172.17.0.2,248.22292685508728,120,3,"[-30.0, -10.0, -10.0, -20.0, -20.0, -30.0, -10.0, 10.0, -30.0, -10.0, -10.0, -20.0, 0.0, -30.0, 0.0, 0.0, -30.0, -20.0, 0.0, 0.0, -10.0, -10.0, -30.0, -10.0, -20.0, 0.0, -10.0, -20.0, -10.0, -20.0, 0.0, -10.0, -10.0, -20.0, -30.0, 0.0, -20.0, -10.0, -20.0, -10.0, -20.0, 0.0, -10.0, 0.0, 0.0, -10.0, -20.0, -10.0, -20.0, -10.0, 0.0, -10.0, -20.0, -20.0, -20.0, -10.0, 0.0, -10.0, -10.0, 10.0, -30.0, -20.0, -10.0, -20.0, -10.0, -10.0, 0.0, -10.0, 10.0, -20.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -10.0, -20.0, -20.0, 0.0, -20.0, -20.0, -10.0, -10.0, -20.0, -20.0, -20.0, 0.0, -10.0, -10.0, -20.0, -20.0, -20.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -20.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7261083859419536,54.0717211607769,0.2250180898430186,0.16058777048489387,0.0,3299.105,12.125,2479.156,16.135,51.862,3000,3000,3000,40,2600,5,23.441525423728816,57.908474576271175,6.728565692901611,32.614112854003906,1.5138072967529297,-0.6071555455525716,-0.11578359603881835
10.0,-30.0,-12.3,10.0,100,4,4000,40,4000,False,400,4,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-30-22,1648895422,80.90424394607544,329.1271708011627,1253,1d29a0c222c3,172.17.0.2,329.1271708011627,160,4,"[-10.0, -20.0, -20.0, -30.0, -20.0, -20.0, -10.0, -10.0, 0.0, 0.0, -20.0, -10.0, -10.0, 10.0, -30.0, 0.0, -10.0, -20.0, -30.0, -10.0, -10.0, -30.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -20.0, -10.0, -20.0, -10.0, -10.0, -10.0, -10.0, -30.0, 0.0, -20.0, 0.0, -10.0, -10.0, -10.0, -10.0, -20.0, -10.0, 10.0, -30.0, -10.0, 0.0, -10.0, -20.0, -10.0, -10.0, -20.0, -20.0, -10.0, -20.0, -10.0, -20.0, 10.0, -10.0, -10.0, -20.0, 0.0, -20.0, -10.0, -20.0, -20.0, -20.0, -10.0, 0.0, -10.0, -10.0, -20.0, -10.0, -10.0, -20.0, -20.0, 0.0, -20.0, -20.0, -10.0, -10.0, -10.0, -20.0, -10.0, -10.0, -20.0, -20.0, 0.0, -10.0, -20.0, -10.0, 0.0, -20.0, 0.0, 10.0, -20.0, 0.0, -20.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7215384598616714,53.6278304043826,0.2234900271618641,0.1600302539981686,0.0,3193.332,12.526,2426.592,16.484,43.024,4000,4000,4000,40,3640,7,23.12521739130435,58.302608695652175,5.22268533706665,45.454833984375,1.3624304453531901,-0.756511942545573,-0.10175104141235351
10.0,-30.0,-11.1,10.0,100,4,5000,40,5000,False,500,5,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-31-44,1648895504,81.19540596008301,410.3225767612457,1253,1d29a0c222c3,172.17.0.2,410.3225767612457,200,5,"[-10.0, -20.0, -30.0, -10.0, 0.0, -20.0, -10.0, -20.0, 0.0, -20.0, 10.0, -20.0, -10.0, -10.0, -10.0, -20.0, -10.0, -10.0, -30.0, 0.0, -10.0, -20.0, 0.0, -20.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -10.0, 0.0, 10.0, -10.0, -20.0, -30.0, -10.0, -10.0, -10.0, -10.0, -10.0, 0.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, 0.0, -20.0, -10.0, -10.0, -20.0, 0.0, -10.0, -10.0, 0.0, -10.0, -30.0, 0.0, -10.0, -10.0, -20.0, 0.0, -10.0, -10.0, -10.0, 0.0, 10.0, -20.0, 10.0, -20.0, 0.0, -20.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -20.0, -10.0, -20.0, -10.0, -20.0, -20.0, -10.0, -10.0, -10.0, -20.0, -20.0, -20.0, -10.0, -20.0, -20.0, -20.0, -10.0, -10.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7176574090306614,53.347714942136264,0.22218067297260827,0.15912872614810983,0.0,3266.641,12.245,2434.691,16.429,58.053,5000,5000,5000,40,4680,9,23.086324786324788,58.66153846153848,7.613710403442383,36.102237701416016,1.582287851969401,1.8869978586832683,1.9720561981201172
10.0,-30.0,-11.5,10.0,100,4,6000,40,6000,False,600,6,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-33-05,1648895585,80.77728056907654,491.09985733032227,1253,1d29a0c222c3,172.17.0.2,491.09985733032227,240,6,"[10.0, -10.0, 0.0, -30.0, 0.0, -20.0, -20.0, 0.0, 0.0, -10.0, -10.0, -10.0, -10.0, -10.0, -20.0, -20.0, 0.0, -20.0, -10.0, 0.0, -10.0, 0.0, -20.0, -30.0, -20.0, -10.0, -10.0, 0.0, -20.0, -10.0, 0.0, -20.0, -20.0, -30.0, -20.0, -10.0, -20.0, -20.0, -10.0, 0.0, -10.0, -10.0, -10.0, 0.0, -10.0, -10.0, -10.0, -20.0, -20.0, -10.0, -10.0, -20.0, -20.0, -20.0, -10.0, 0.0, -10.0, 10.0, -10.0, -20.0, 0.0, -30.0, -10.0, -10.0, -10.0, -10.0, 10.0, -30.0, -20.0, -20.0, -10.0, -10.0, -20.0, 0.0, -10.0, -10.0, -20.0, -20.0, 0.0, -10.0, -30.0, -20.0, -10.0, 0.0, 10.0, -10.0, -10.0, -10.0, 0.0, 0.0, -10.0, -30.0, -20.0, -10.0, -10.0, -20.0, 0.0, -10.0, -20.0, -10.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7139067900808235,53.1043853861423,0.22131720834537646,0.15835762818124915,0.0,3246.27,12.322,2415.265,16.561,61.221,6000,6000,6000,40,5720,11,23.0301724137931,58.90862068965516,6.556451320648193,35.98789978027344,1.7399897257486978,1.3905017852783204,0.9016941070556641
20.0,-30.0,-9.9,10.0,100,4,7000,40,7000,False,700,7,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-34-25,1648895665,79.38300561904907,570.4828629493713,1253,1d29a0c222c3,172.17.0.2,570.4828629493713,280,7,"[-30.0, -10.0, -30.0, -10.0, -30.0, -10.0, 0.0, -10.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, -10.0, -10.0, 10.0, -10.0, -10.0, 0.0, 20.0, -10.0, -10.0, -20.0, -20.0, -10.0, 0.0, -20.0, -20.0, 0.0, -20.0, -10.0, -10.0, 0.0, -10.0, -10.0, -30.0, 0.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.0, -10.0, -20.0, -10.0, 0.0, -20.0, -20.0, -10.0, -10.0, -10.0, 0.0, 0.0, -10.0, -10.0, -10.0, 10.0, -10.0, -20.0, -10.0, -20.0, -20.0, 0.0, 0.0, -20.0, -20.0, -20.0, -20.0, 0.0, 0.0, -30.0, -20.0, 10.0, -20.0, -10.0, -20.0, 0.0, -10.0, -20.0, 10.0, -10.0, -10.0, -20.0, -10.0, -20.0, -10.0, -30.0, -10.0, -10.0, -10.0, -20.0, -10.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7114064550481476,52.96989957105769,0.2205974711206284,0.1576651443010871,0.0,3182.056,12.57,2344.235,17.063,59.832,7000,7000,7000,40,6760,13,23.549122807017543,59.216666666666676,5.377176761627197,23.521705627441406,1.4974829355875652,0.6144342422485352,0.5004455248514811
10.0,-30.0,-10.1,10.0,100,4,8000,40,8000,False,800,8,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-35-44,1648895744,78.98383069038391,649.4666936397552,1253,1d29a0c222c3,172.17.0.2,649.4666936397552,320,8,"[-10.0, 0.0, -30.0, 0.0, 0.0, -10.0, 0.0, -30.0, -10.0, -20.0, -20.0, 0.0, -10.0, 0.0, -20.0, -20.0, -10.0, -20.0, -20.0, -20.0, -10.0, -10.0, -20.0, 10.0, -20.0, -20.0, -10.0, -20.0, 0.0, -10.0, 0.0, -10.0, -10.0, -10.0, -10.0, -10.0, 0.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, 0.0, -20.0, -20.0, -20.0, 0.0, 0.0, -20.0, -10.0, 10.0, 0.0, -10.0, 0.0, 0.0, -10.0, -10.0, -10.0, -10.0, -10.0, -30.0, 0.0, -20.0, 0.0, 0.0, 0.0, 0.0, -10.0, -20.0, -10.0, -10.0, -20.0, -10.0, -20.0, 0.0, -10.0, -10.0, 0.0, -10.0, -10.0, 0.0, -20.0, 0.0, 0.0, 0.0, -30.0, -30.0, -10.0, -20.0, 0.0, -20.0, 0.0, 0.0, 0.0, -10.0, 10.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7096148919368136,52.83670831119818,0.2204397212023261,0.15780521833199612,0.0,3162.087,12.65,2361.401,16.939,50.02,8000,8000,8000,40,7800,15,23.267256637168146,59.48053097345134,5.582086563110352,21.871593475341797,1.2991259256998697,0.1624025503794352,0.19872032801310222
10.0,-30.0,-9.6,10.0,100,4,9000,40,9000,False,900,9,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-37-07,1648895827,81.73649001121521,731.2031836509705,1253,1d29a0c222c3,172.17.0.2,731.2031836509705,360,9,"[0.0, 0.0, -10.0, 0.0, 0.0, -20.0, -10.0, -10.0, -10.0, 0.0, -10.0, -10.0, -10.0, -20.0, -30.0, -10.0, -10.0, -10.0, 0.0, -20.0, -10.0, -20.0, 0.0, 0.0, -10.0, -10.0, 0.0, 0.0, -20.0, -20.0, 0.0, -10.0, 0.0, 0.0, -30.0, -20.0, 0.0, -10.0, -10.0, -10.0, -20.0, -10.0, 0.0, -10.0, -10.0, -30.0, -10.0, 0.0, -10.0, 0.0, -20.0, -10.0, -20.0, 0.0, -30.0, -20.0, -20.0, -20.0, -10.0, -10.0, -20.0, 0.0, -10.0, -20.0, -10.0, -10.0, -20.0, -10.0, 0.0, 0.0, 0.0, -10.0, -20.0, -10.0, 10.0, 0.0, -10.0, 0.0, 0.0, 0.0, -10.0, -10.0, -20.0, -10.0, 0.0, -10.0, -20.0, -10.0, 0.0, -10.0, -20.0, -10.0, 0.0, 0.0, -20.0, -20.0, -10.0, -10.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.7131685685285296,53.10368310181844,0.22161057237941173,0.15861656548234426,0.0,3243.369,12.333,2430.594,16.457,44.934,9000,9000,9000,40,8840,17,23.359829059829057,59.795726495726505,5.7910003662109375,30.264204025268555,1.7282276153564453,0.7364648818969727,0.43137003580729166
10.0,-30.0,-11.1,10.0,100,4,10000,40,10000,False,1000,10,1ae99_00000,8a8309fca8534f08b7a1b5813e397be5,2022-04-02_03-38-29,1648895909,81.94553232192993,813.1487159729004,1253,1d29a0c222c3,172.17.0.2,813.1487159729004,400,10,"[-20.0, -10.0, -30.0, -10.0, -20.0, -10.0, -10.0, 10.0, -20.0, 10.0, 0.0, -20.0, -30.0, -10.0, -10.0, 0.0, -10.0, 0.0, 0.0, -10.0, 10.0, -10.0, -10.0, -10.0, -10.0, 0.0, -20.0, -20.0, -20.0, 0.0, 0.0, -10.0, -10.0, -20.0, -20.0, 0.0, -10.0, -30.0, 0.0, -20.0, -30.0, -20.0, -10.0, -20.0, -30.0, -20.0, 0.0, 0.0, 0.0, -10.0, -10.0, -20.0, 0.0, -10.0, -10.0, -20.0, -10.0, -10.0, 0.0, -10.0, 0.0, -10.0, -20.0, -20.0, -10.0, 0.0, -20.0, -20.0, -10.0, -10.0, 0.0, -20.0, 0.0, -10.0, -10.0, -10.0, -10.0, -20.0, -10.0, -20.0, -10.0, -10.0, -20.0, 0.0, 0.0, -10.0, -10.0, -10.0, 0.0, 0.0, -20.0, -30.0, -10.0, -20.0, 0.0, -20.0, -30.0, 0.0, -20.0, -10.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.719126154546116,53.44876440845934,0.22280492672010793,0.15954809730313194,0.0,3257.377,12.28,2386.163,16.763,53.914,10000,10000,10000,40,9880,19,23.906837606837605,60.12905982905985,5.480803966522217,27.276824951171875,1.5577841440836588,1.7984001159667968,1.4408772786458333
