episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
-8.0,-30.0,-26.333333333333332,19.0,6,1,114,40,114,False,6,1,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-51,1648815231,0.4711923599243164,0.4711923599243164,26662,1d29a0c222c3,172.17.0.2,0.4711923599243164,40,1,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0]","[20, 20, 14, 20, 20, 20]",0.2813836802606997,0.9551069010858949,0.1104437786599864,0.07883776789126189,0.0,70.41,539.699,41.804,909.008,3.528,114,114,228,40,0,17.2,47.2,4.9102606773376465,25.56631851196289,1.5792696952819825,-1.6016326904296876,-0.22891874313354493
6.0,-30.0,-24.08695652173913,18.347826086956523,17,1,422,42,422,False,23,2,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-52,1648815232,1.1647489070892334,1.6359412670135498,26662,1d29a0c222c3,172.17.0.2,1.6359412670135498,82,2,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20]",0.2601781321636738,0.8988749999199439,0.10447583197716294,0.07589396761215161,0.0,65.851,593.763,37.811,1034.08,2.892,422,422,893,42,0,16.15,47.4,5.616846561431885,10.011566162109375,1.3222102210635232,0.41387072063627695,0.16998678161984399
6.0,-40.0,-26.2,18.475,17,1,739,40,739,False,40,3,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-53,1648815233,1.2100780010223389,2.8460192680358887,26662,1d29a0c222c3,172.17.0.2,2.8460192680358887,122,3,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0, -40.0, -40.0, -40.0, -30.0, -30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20]",0.25633506993346566,0.8945308120705393,0.10391120062814148,0.07568069221421221,0.0,67.785,597.474,37.801,1071.387,2.025,739,739,1588,40,0,15.4,47.4,2.469402313232422,5.463932037353516,0.6138118743896485,-0.012184572219848634,-0.05721614360809326
6.0,-40.0,-26.5,18.607142857142858,16,1,1042,40,1042,False,56,4,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-54,1648815234,1.1581895351409912,4.00420880317688,26662,1d29a0c222c3,172.17.0.2,4.00420880317688,162,4,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0, -40.0, -40.0, -40.0, -30.0, -30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20]",0.25515708170239365,0.8929908826190683,0.10388330774367192,0.07574180869793326,0.0,71.74,567.329,39.283,1036.074,2.087,1042,1042,2250,40,1002,15.9,47.4,1.9283794164657593,6.103411674499512,0.6785293102264405,-0.38616223335266114,-0.08895382881164551
12.0,-40.0,-26.52054794520548,18.465753424657535,17,1,1348,40,1348,False,73,5,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-56,1648815236,1.1576247215270996,5.1618335247039795,26662,1d29a0c222c3,172.17.0.2,5.1618335247039795,202,5,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0, -40.0, -40.0, -40.0, -30.0, -30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, 4.0, -16.0, -12.0, -40.0, -30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20, 20, 8, 18, 16, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20]",0.2543255918010191,0.8912063507232502,0.10375646639145447,0.0758097215732923,0.0,68.249,600.744,37.101,1105.087,1.97,1348,1348,2952,40,1002,15.0,47.4,1.52727472782135,3.096726417541504,0.5706069946289063,-0.1432323932647705,-0.044313210248947146
14.0,-40.0,-25.108695652173914,17.98913043478261,19,1,1655,44,1655,False,92,6,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-57,1648815237,1.1802787780761719,6.342112302780151,26662,1d29a0c222c3,172.17.0.2,6.342112302780151,246,6,"[-30.0, -30.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0, -40.0, -40.0, -40.0, -30.0, -30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, 4.0, -16.0, -12.0, -40.0, -30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -2.0, 2.0, -40.0, -30.0, 6.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, 0.0, -30.0, -30.0, 14.0, -2.0, -12.0]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20, 20, 8, 18, 16, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20, 20, 11, 9, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 3, 11, 16]",0.25372698545552325,0.8881838535529336,0.10347598215427987,0.07576510072370832,0.0,66.59,612.703,37.658,1083.431,1.964,1655,1655,3694,44,1002,14.9,47.4,4.645528793334961,6.727871894836426,1.3550874536687678,0.39129851081154565,0.1941267360340465
14.0,-40.0,-25.38,18.04,17,1,1978,40,1978,False,109,7,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-58,1648815238,1.2065002918243408,7.548612594604492,26662,1d29a0c222c3,172.17.0.2,7.548612594604492,286,7,"[-30.0, -30.0, -30.0, -30.0, -30.0, 6.0, -30.0, -20.0, -20.0, -2.0, 0.0, -30.0, -30.0, -30.0, -40.0, -40.0, -40.0, -30.0, -30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, 4.0, -16.0, -12.0, -40.0, -30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -2.0, 2.0, -40.0, -30.0, 6.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, 0.0, -30.0, -30.0, 14.0, -2.0, -12.0, -30.0, -40.0, -40.0, -40.0, -14.0, -30.0, -30.0, -30.0, 8.0, -40.0, -30.0, -20.0, -30.0, -30.0, -30.0, -30.0, -20.0]","[20, 20, 20, 20, 20, 7, 20, 20, 20, 11, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20, 20, 8, 18, 16, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20, 20, 11, 9, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 3, 11, 16, 20, 20, 20, 20, 17, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 20, 20]",0.25168008066955483,0.8827677234174678,0.10294616243597975,0.07558061441193396,0.0,69.825,580.018,38.522,1051.352,2.01,1978,1978,4379,40,1002,12.7,47.4,1.7994073629379272,8.233501434326172,0.9017491340637207,-0.03626152276992798,-0.4857069969177246
14.0,-40.0,-24.96,17.98,18,1,2300,40,2300,False,127,8,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-13-59,1648815239,1.2674202919006348,8.816032886505127,26662,1d29a0c222c3,172.17.0.2,8.816032886505127,326,8,"[-30.0, -30.0, 0.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, 6.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, 4.0, -16.0, -12.0, -40.0, -30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -2.0, 2.0, -40.0, -30.0, 6.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, 0.0, -30.0, -30.0, 14.0, -2.0, -12.0, -30.0, -40.0, -40.0, -40.0, -14.0, -30.0, -30.0, -30.0, 8.0, -40.0, -30.0, -20.0, -30.0, -30.0, -30.0, -30.0, -20.0, 0.0, -20.0, -8.0, -30.0, -40.0, -40.0, -20.0, -16.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 8.0, -30.0]","[20, 20, 10, 20, 20, 20, 20, 20, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20, 20, 8, 18, 16, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20, 20, 11, 9, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 3, 11, 16, 20, 20, 20, 20, 17, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 14, 20, 20, 20, 20, 18, 14, 20, 20, 20, 20, 20, 20, 20, 6, 20]",0.25159705004949035,0.8828711005787193,0.1029910414844381,0.07575612804514396,0.0,70.852,584.314,39.564,1046.405,2.085,2300,2300,5103,40,2008,14.75,47.5,2.0882012844085693,5.34639835357666,0.8982912063598633,-0.13511927127838136,-0.45453548431396484
14.0,-40.0,-25.26,18.08,17,1,2627,36,2627,False,144,9,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-14-00,1648815240,1.2044618129730225,10.02049469947815,26662,1d29a0c222c3,172.17.0.2,10.02049469947815,362,9,"[-30.0, -6.0, -30.0, -12.0, -8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, 4.0, -16.0, -12.0, -40.0, -30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -2.0, 2.0, -40.0, -30.0, 6.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, 0.0, -30.0, -30.0, 14.0, -2.0, -12.0, -30.0, -40.0, -40.0, -40.0, -14.0, -30.0, -30.0, -30.0, 8.0, -40.0, -30.0, -20.0, -30.0, -30.0, -30.0, -30.0, -20.0, 0.0, -20.0, -8.0, -30.0, -40.0, -40.0, -20.0, -16.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -10.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -4.0, -30.0, -40.0]","[20, 13, 20, 16, 14, 20, 20, 20, 20, 20, 20, 20, 20, 8, 18, 16, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20, 20, 11, 9, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 3, 11, 16, 20, 20, 20, 20, 17, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 14, 20, 20, 20, 20, 18, 14, 20, 20, 20, 20, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 15, 20, 20, 20, 20, 20, 20, 20, 20, 12, 20, 20]",0.25171447472942177,0.8831284140030904,0.1029879794558897,0.07583035929747327,0.0,71.625,544.502,36.84,1058.62,2.038,2627,2627,5773,36,2008,18.5,47.5,4.144861221313477,8.164410591125488,1.261644787258572,0.16034219000074598,0.34994194242689347
14.0,-40.0,-25.94,18.17,17,1,2941,45,2941,False,161,10,2c94f_00000,7832452819e84ef6b3503a46d3196ac3,2022-04-01_05-14-02,1648815242,1.1899421215057373,11.210436820983887,26662,1d29a0c222c3,172.17.0.2,11.210436820983887,407,10,"[-30.0, -30.0, -30.0, -30.0, 12.0, -40.0, -40.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -2.0, 2.0, -40.0, -30.0, 6.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, 0.0, -30.0, -30.0, 14.0, -2.0, -12.0, -30.0, -40.0, -40.0, -40.0, -14.0, -30.0, -30.0, -30.0, 8.0, -40.0, -30.0, -20.0, -30.0, -30.0, -30.0, -30.0, -20.0, 0.0, -20.0, -8.0, -30.0, -40.0, -40.0, -20.0, -16.0, -8.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, -30.0, 8.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -10.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0, -30.0, -30.0, -4.0, -30.0, -40.0, 2.0, -30.0, -40.0, -30.0, -30.0, 10.0, -30.0, -40.0, -30.0, -30.0, -40.0, -30.0, -30.0, -30.0, -30.0, -30.0, -40.0]","[20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20, 20, 20, 11, 9, 20, 20, 7, 20, 20, 20, 20, 20, 20, 20, 10, 20, 20, 3, 11, 16, 20, 20, 20, 20, 17, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 20, 20, 10, 20, 14, 20, 20, 20, 20, 18, 14, 20, 20, 20, 20, 20, 20, 20, 6, 20, 20, 20, 20, 20, 20, 15, 20, 20, 20, 20, 20, 20, 20, 20, 12, 20, 20, 9, 20, 20, 20, 20, 5, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.2516802401180611,0.8831637853164928,0.10290699023776324,0.07579444204947708,0.0,72.469,565.762,39.612,1035.048,2.175,2941,2941,6483,45,2008,14.7,47.5,4.264942646026611,12.062326431274414,1.1981276618109808,-0.5054153442382813,-0.07656155162387424
